id,sis_course_id,course_code,name
13098,C.Campus.2018.Fall.AGRON 440.1,AGRON 440,Crop Physiology
18034,,FDREL 324,Doctrine and Covenants
18080,,FDREL 352,Christian History
18330,,HIST 395,History of Religions
18332,,CHIN 302,Advanced Mandarin II
18362,,APS 312,Alternate Cropping Systems
18368,,HIST 264,US History Since 1920
18380,,CHEM 220,Quantitative Analysis
21314,C.Campus.2018.Winter.ART 301.1,ART 301,Art of Ancient Near East & Egypt
28190,C.Campus.2019.Winter.COMM 235.1,COMM 235,PR Principles and Practices
28250,C.Campus.2019.Winter.COMM 339.1,COMM 339,Events Management
32418,,AGRON 435,Crop Science
34134,,RM 223G,Mountaineering
34138,,BIO 378,Molecular Lab Pedagogy (Blueprint)
34178,,HIST 260,US History to 1820
34180,,MUSIC 299,Basic Audio Engineering
34282,,ART 280,Sculpture I
34504,,ECON 151,Economic Principles and Problems-Macro
34506,,ECON 353,Money and Banking
34510,,FDREL 122,Book of Mormon
34512,,BIO 240,Neurobiology
34526,,ECON 150,Economic Principles and Problems-Micro
34548,,MUSIC 387,Scoring and Arranging
34552,,MUSIC 306,Form and Analysis
34776,,AS 465,Processed Meats
34780,,AS 430,Applied reproduction
34912,,ENG 318R,Advanced Creative Writing
34916,,MATH 101,Intermediate Algebra
34988,,PHIL 315,Philosophy of Religion
34990,,FDREL 225,Foundations of the Restoration
34992,,PTA 299,Seminar
34996,,GEOG 120,Geography and World Affairs
34998,,GEOG 321,Geography of Developing Nations
35000,,ECON 440,Law and Economics
35002,,ECON 150,Micro Economics
35020,,DANCE 495,Dance Kinesiology II (Sandbox)
35052,,DANCE 356,Philosophy and Technique of Teaching Dance (Sandbox)
35074,,MUSIC 261M,Music Lessons- Clarinet IV
35092,,DANCE 242,Improvisation and Choreography
35094,,DANCE 310R,Conditioning for Dancers
35096,,DANCE 496R,Somatics
35138,,ED 344,Idaho Comprehensive Literacy #1
35140,,ED 202,History and Philosophy of Education
35142,,ED 444,Elementary Social Studies Methods
35144,,ED 345,Idaho Comprehensive Literacy #2
35192,,ME 422,Thermodynamics II
35248,,DANCE 281M,Social Dance Intermediate II
35352,,AS 315,Animal & Food Science
35436,,FAML 390R,Special Topics in Family Studies
36684,,PTA 205,Therapeutic Procedures 2
36690,,ME 495R,Special Topics in Mechanical Engineering
36692,,ME 332,Computer Numerical Control (CNC)
36696,,ART 260,Intermediate Photography
36924,,AS 330,Artificial Insemination
36938,,TA 425,Directing II
37118,,FDHUM 110,Foundations of Humanities
37682,,POLSC 150,Introduction to Comparative Politics
38646,,FS 330,	Food Processing
39328,,FS 340,	Applied Sensory Science
39330,,HORT 319,Landscape Management
39340,,HORT 297R,	Practicum in Horticulture
39358,,HORT 324,Herbaceous Plant Identification
39434,,PTA 210,PTA 210 - coglianesem
39500,,FDREL130,Missionary Preparation
39552,,FS 230,Introduction to Food Preservation and Processing
39844,C.Campus.2019.Spring.ACCTG 312.1,ACCTG 312,Cost Accounting
39846,C.Campus.2019.Spring.ACCTG 312.2,ACCTG 312,Cost Accounting
39848,C.Campus.2019.Spring.ACCTG 456.1,ACCTG 456,Accounting Information Systems
39850,C.Campus.2019.Spring.ACCTG 456.2,ACCTG 456,Accounting Information Systems
39852,C.Campus.2019.Spring.BIO 377.1,BIO 377,Tech in Biochem/Molecular Bio
39854,C.Campus.2019.Spring.AGBUS 347.1,AGBUS 347,Agricultural Marketing
39858,C.Campus.2019.Spring.CS 308.1,CS 308,Technical Communication
39860,C.Campus.2019.Spring.APS 398R.1,APS 398R,Internship
39862,C.Campus.2019.Spring.BIO 377.3,BIO 377,Tech in Biochem/Molecular Bio
39864,C.Campus.2019.Spring.CS 308.2,CS 308,Technical Communication
39866,C.Campus.2019.Spring.APS 398R.2,APS 398R,Internship
39868,C.Campus.2019.Spring.BIO 412.1,BIO 412,Virology
39870,C.Campus.2019.Spring.CS 371.1,CS 371,Human-Computer Interaction
39872,C.Campus.2019.Spring.APS 398R.3,APS 398R,Internship
39874,C.Campus.2019.Spring.BUS 374.1,BUS 374,Social Innovation
39876,C.Campus.2019.Spring.DANCE 135.1,DANCE 135,Tap Dance  Beginning
39878,C.Campus.2019.Spring.APS 462.1,APS 462,Crop Insect Management
39880,C.Campus.2019.Spring.BUS 375.1,BUS 375,Business Law
39882,C.Campus.2019.Spring.DANCE 135.2,DANCE 135,Tap Dance  Beginning
39884,C.Campus.2019.Spring.ARCH 270.1,ARCH 270,Construction Documents
39886,C.Campus.2019.Spring.BUS 375.2,BUS 375,Business Law
39888,C.Campus.2019.Spring.DANCE 240R.1,DANCE 240R,Modern Dance Technique I
39890,C.Campus.2019.Spring.ART 230.1,ART 230,Typography
39894,C.Campus.2019.Spring.DANCE 240R.2,DANCE 240R,Modern Dance Technique I
39896,C.Campus.2019.Spring.ART 240.1,ART 240,Introduction to Illustration
39898,C.Campus.2019.Spring.CHEM 352L.2,CHEM 352L,Organic Chemistry Lab II
39900,C.Campus.2019.Spring.DANCE 280M.1,DANCE 280M,Social Dance Intermediate I
39902,C.Campus.2019.Spring.ART 251.1,ART 251,Watercolor I
39904,C.Campus.2019.Spring.CHEM 490R.1,CHEM 490R,Special Topics in Chemistry
39906,C.Campus.2019.Spring.DANCE 284M.1,DANCE 284M,Intl Standard Technique I
39908,C.Campus.2019.Spring.ART 251.2,ART 251,Watercolor I
39910,C.Campus.2019.Spring.CHEM 490R.2,CHEM 490R,Special Topics in Chemistry
39912,C.Campus.2019.Spring.ECEN 398R.1,ECEN 398R,Internship
39914,C.Campus.2019.Spring.ART 280.1,ART 280,Sculpture I
39916,C.Campus.2019.Spring.CHEM 490R.3,CHEM 490R,Special Topics in Chemistry
39918,C.Campus.2019.Spring.ART 280.2,ART 280,Sculpture I
39920,C.Campus.2019.Spring.ECEN 470.1,ECEN 470,Feedback Cont of Dynamic Systems
39922,C.Campus.2019.Spring.ESS 101.2,ESS 101,Water Aerobics
39924,C.Campus.2019.Spring.CHEM 490R.4,CHEM 490R,Special Topics in Chemistry
39926,C.Campus.2019.Spring.ART 306.1,ART 306,History of Design & Illustration
39928,C.Campus.2019.Spring.ECEN 470.2,ECEN 470,Feedback Cont of Dynamic Systems
39930,C.Campus.2019.Spring.CHILD 120.1,CHILD 120,Infants and Toddlers
39932,C.Campus.2019.Spring.ESS 349L.1,ESS 349L,Sports Medicine Lab
39934,C.Campus.2019.Spring.ART 366R.1,ART 366R,Commercial Photography
39936,C.Campus.2019.Spring.ECON 440.1,ECON 440,Law and Economics
39938,C.Campus.2019.Spring.ESS 349L.2,ESS 349L,Sports Medicine Lab
39940,C.Campus.2019.Spring.CHILD 120.2,CHILD 120,Infants and Toddlers
39942,C.Campus.2019.Spring.ECON 455.1,ECON 455,Financial Economics
39944,C.Campus.2019.Spring.ART 370.1,ART 370,Printmaking II
39946,C.Campus.2019.Spring.FAML 390R.1,FAML 390R,Special Topics in Family Studies
39948,C.Campus.2019.Spring.CHILD 290R.1,CHILD 290R,PPE Staff Seminar
39950,C.Campus.2019.Spring.ED 200.1,ED 200,Teaching as a Profession
39952,C.Campus.2019.Spring.ART 445R.1,ART 445R,Digital Illustration
39954,C.Campus.2019.Spring.FCS 360.1,FCS 360,Textile Science
39956,C.Campus.2019.Spring.CIT 353.1,CIT 353,Operating Systems II
39958,C.Campus.2019.Spring.ED 200.2,ED 200,Teaching as a Profession
39960,C.Campus.2019.Spring.ART 480R.1,ART 480R,Figure Sculpture
39962,C.Campus.2019.Spring.FDENG 301.1,FDENG 301,Advanced Writing and Research
39964,C.Campus.2019.Spring.CIT 499R.1,CIT 499R,Special Topics
39966,C.Campus.2019.Spring.ED 200.3,ED 200,Teaching as a Profession
39968,C.Campus.2019.Spring.ART 495F.1,ART 495F,BFA Project Photography
39970,C.Campus.2019.Spring.FDENG 301.2,FDENG 301,Advanced Writing and Research
39972,C.Campus.2019.Spring.CIT 499R.2,CIT 499R,Special Topics
39974,C.Campus.2019.Spring.ED 200.4,ED 200,Teaching as a Profession
39976,C.Campus.2019.Spring.AS 135.1,AS 135,Intro to Meat Products
39978,C.Campus.2019.Spring.CIT 499R.3,CIT 499R,Special Topics
39980,C.Campus.2019.Spring.FDENG 301.3,FDENG 301,Advanced Writing and Research
39982,C.Campus.2019.Spring.ED 200.5,ED 200,Teaching as a Profession
39984,C.Campus.2019.Spring.AS 135.2,AS 135,Intro to Meat Products
39986,C.Campus.2019.Spring.CIT 499R.4,CIT 499R,Special Topics
39988,C.Campus.2019.Spring.FDENG 301.4,FDENG 301,Advanced Writing and Research
39990,C.Campus.2019.Spring.ED 200.6,ED 200,Teaching as a Profession
39992,C.Campus.2019.Spring.AS 247.1,AS 247,Animal Handling and Behavior
39994,C.Campus.2019.Spring.FDENG 301.5,FDENG 301,Advanced Writing and Research
39996,C.Campus.2019.Spring.COMM 240.1,COMM 240,Newsgathering Prin & Practices
